# Nmap 7.95 scan initiated Thu Apr  9 11:21:44 2026 as: /usr/lib/nmap/nmap -sS -vv -oN result.txt 192.168.29.0/24
Nmap scan report for 192.168.29.0 [host down, received no-response]
Nmap scan report for 192.168.29.2 [host down, received no-response]
Nmap scan report for 192.168.29.3 [host down, received no-response]
Nmap scan report for 192.168.29.4 [host down, received no-response]
Nmap scan report for 192.168.29.5 [host down, received no-response]
Nmap scan report for 192.168.29.6 [host down, received no-response]
Nmap scan report for 192.168.29.7 [host down, received no-response]
Nmap scan report for 192.168.29.8 [host down, received no-response]
Nmap scan report for 192.168.29.9 [host down, received no-response]
Nmap scan report for 192.168.29.10 [host down, received no-response]
Nmap scan report for 192.168.29.11 [host down, received no-response]
Nmap scan report for 192.168.29.12 [host down, received no-response]
Nmap scan report for 192.168.29.13 [host down, received no-response]
Nmap scan report for 192.168.29.14 [host down, received no-response]
Nmap scan report for 192.168.29.15 [host down, received no-response]
Nmap scan report for 192.168.29.16 [host down, received no-response]
Nmap scan report for 192.168.29.17 [host down, received no-response]
Nmap scan report for 192.168.29.18 [host down, received no-response]
Nmap scan report for 192.168.29.19 [host down, received no-response]
Nmap scan report for 192.168.29.20 [host down, received no-response]
Nmap scan report for 192.168.29.21 [host down, received no-response]
Nmap scan report for 192.168.29.22 [host down, received no-response]
Nmap scan report for 192.168.29.23 [host down, received no-response]
Nmap scan report for 192.168.29.24 [host down, received no-response]
Nmap scan report for 192.168.29.25 [host down, received no-response]
Nmap scan report for 192.168.29.26 [host down, received no-response]
Nmap scan report for 192.168.29.27 [host down, received no-response]
Nmap scan report for 192.168.29.28 [host down, received no-response]
Nmap scan report for 192.168.29.29 [host down, received no-response]
Nmap scan report for 192.168.29.30 [host down, received no-response]
Nmap scan report for 192.168.29.31 [host down, received no-response]
Nmap scan report for 192.168.29.32 [host down, received no-response]
Nmap scan report for 192.168.29.33 [host down, received no-response]
Nmap scan report for 192.168.29.34 [host down, received no-response]
Nmap scan report for 192.168.29.35 [host down, received no-response]
Nmap scan report for 192.168.29.36 [host down, received no-response]
Nmap scan report for 192.168.29.37 [host down, received no-response]
Nmap scan report for 192.168.29.38 [host down, received no-response]
Nmap scan report for 192.168.29.39 [host down, received no-response]
Nmap scan report for 192.168.29.40 [host down, received no-response]
Nmap scan report for 192.168.29.41 [host down, received no-response]
Nmap scan report for 192.168.29.42 [host down, received no-response]
Nmap scan report for 192.168.29.43 [host down, received no-response]
Nmap scan report for 192.168.29.44 [host down, received no-response]
Nmap scan report for 192.168.29.45 [host down, received no-response]
Nmap scan report for 192.168.29.46 [host down, received no-response]
Nmap scan report for 192.168.29.47 [host down, received no-response]
Nmap scan report for 192.168.29.48 [host down, received no-response]
Nmap scan report for 192.168.29.49 [host down, received no-response]
Nmap scan report for 192.168.29.50 [host down, received no-response]
Nmap scan report for 192.168.29.51 [host down, received no-response]
Nmap scan report for 192.168.29.52 [host down, received no-response]
Nmap scan report for 192.168.29.53 [host down, received no-response]
Nmap scan report for 192.168.29.54 [host down, received no-response]
Nmap scan report for 192.168.29.56 [host down, received no-response]
Nmap scan report for 192.168.29.57 [host down, received no-response]
Nmap scan report for 192.168.29.58 [host down, received no-response]
Nmap scan report for 192.168.29.59 [host down, received no-response]
Nmap scan report for 192.168.29.60 [host down, received no-response]
Nmap scan report for 192.168.29.61 [host down, received no-response]
Nmap scan report for 192.168.29.62 [host down, received no-response]
